,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85
0,17.0,61.9,0.5,3.7,2.7,20.8
1,10.4,54.1,0.2,2.1,1.1,16.0
2,33.6,74.2,1.7,9.5,8.8,31.8
3,14.9,30.5,2.2,5.7,6.7,13.6
4,22.7,67.6,0.6,5.3,3.3,25.0
5,0.7,1.7,0.2,0.3,0.2,0.7
6,14.5,37.8,1.7,4.9,5.4,14.9
7,10.5,23.2,1.1,3.7,4.1,9.8
8,14.1,28.9,3.8,6.8,8.8,13.5
9,34.3,70.5,3.7,11.5,12.1,31.6
10,18.7,67.6,0.3,3.6,1.5,23.2
11,8.0,23.0,0.6,2.4,2.5,8.5
12,14.6,35.7,1.7,4.9,5.8,14.6
13,1.1,3.9,0.2,0.4,0.4,1.3
14,0.2,0.5,0.1,0.1,0.1,0.2
15,59.3,89.4,3.2,18.3,18.2,46.5
16,0.5,0.7,0.2,0.3,0.2,0.4
17,35.7,70.6,4.4,12.8,14.4,32.6
18,0.3,5.4,0.0,0.1,0.1,1.0
19,1.2,7.2,0.1,0.3,0.2,1.9
20,21.4,70.5,1.0,5.2,3.5,25.3
21,0.7,2.2,0.2,0.4,0.5,0.9
22,4.5,30.1,0.1,0.8,0.4,7.8
23,12.8,38.1,1.6,4.3,4.5,14.1
24,0.3,0.5,0.1,0.2,0.2,0.3
25,0.1,0.2,0.0,0.0,0.0,0.1
26,52.4,90.4,1.3,13.5,9.4,43.1
27,9.1,21.7,1.0,3.2,3.4,9.0
28,1.1,4.1,0.1,0.4,0.3,1.3
29,13.5,34.1,1.7,4.9,5.5,13.7
30,82.3,93.4,22.8,43.4,59.2,64.9
31,19.9,49.1,1.6,6.2,6.3,19.6
32,1.2,3.4,0.3,0.5,0.5,1.2
33,0.8,1.3,0.4,0.5,0.5,0.8
34,4.4,18.2,0.1,1.0,0.8,5.7
35,1.6,12.0,0.1,0.3,0.2,3.1
36,0.3,0.6,0.1,0.1,0.2,0.2
37,10.4,23.5,2.2,4.5,5.3,10.2
38,0.0,0.1,0.0,0.0,0.0,0.0
39,0.0,0.2,0.0,0.0,0.0,0.0
40,0.1,0.8,0.0,0.0,0.0,0.2
41,0.0,0.2,0.0,0.0,0.0,0.1
42,0.1,0.2,0.0,0.0,0.0,0.1
43,0.5,0.7,0.2,0.2,0.2,0.4
44,33.3,69.0,4.3,12.0,13.4,31.3
45,2.0,5.2,0.9,1.1,1.1,2.2
46,0.3,5.8,0.0,0.1,0.1,1.2
47,1.5,7.0,0.2,0.3,0.2,2.0
48,19.3,70.6,0.2,3.5,1.3,24.0
49,1.6,7.0,0.5,0.7,0.7,2.1
50,3.1,11.2,0.5,1.1,1.0,3.7
51,3.1,27.0,0.0,0.5,0.2,6.4
52,0.4,0.6,0.1,0.2,0.2,0.3
53,88.3,97.7,19.2,43.3,60.6,67.2
54,0.2,0.4,0.1,0.1,0.1,0.2
55,0.1,0.3,0.1,0.1,0.1,0.1
56,51.7,89.1,1.3,13.3,9.6,42.4
57,7.3,18.3,0.7,2.4,2.5,7.3
58,0.9,4.0,0.1,0.3,0.3,1.2
59,0.9,3.7,0.2,0.4,0.5,1.1
60,12.9,32.2,1.6,4.7,5.0,13.0
61,12.6,33.5,2.0,4.8,5.4,13.2
62,71.0,90.9,14.3,32.2,41.0,56.2
63,18.4,50.0,1.3,5.4,5.3,19.0
64,0.9,3.0,0.2,0.4,0.4,1.1
65,0.0,0.3,0.0,0.0,0.0,0.0
66,0.8,1.4,0.4,0.5,0.6,0.8
67,4.0,15.9,0.0,0.8,0.1,4.8
68,1.3,8.5,0.0,0.3,0.1,2.2
69,4.8,36.7,0.1,1.0,0.6,9.5
70,0.2,0.5,0.1,0.2,0.2,0.2
71,11.0,23.7,3.0,5.4,6.5,10.9
72,11.9,44.9,0.3,2.6,1.7,14.9
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.1,0.0,0.0,0.0,0.0
75,0.1,0.9,0.0,0.1,0.0,0.2
76,0.0,0.2,0.0,0.0,0.0,0.1
77,0.1,0.3,0.0,0.0,0.1,0.1
78,0.5,0.7,0.2,0.3,0.2,0.5
79,29.6,65.5,3.0,10.0,10.7,28.3
80,2.8,7.2,0.6,1.3,1.5,2.9
81,1.0,7.8,0.2,0.3,0.3,1.9
82,46.1,78.5,2.3,14.1,13.7,38.1
83,1.5,6.7,0.3,0.6,0.7,2.1
84,20.0,73.3,0.7,4.2,2.6,25.3
85,0.7,1.7,0.1,0.3,0.2,0.7
86,2.0,7.0,0.7,0.9,0.9,2.4
87,2.8,10.4,0.5,1.0,1.1,3.4
88,2.3,25.9,0.0,0.4,0.1,5.9
89,12.2,35.4,1.2,3.8,3.8,13.2
90,0.3,0.4,0.0,0.1,0.1,0.2
91,0.1,0.2,0.0,0.1,0.1,0.1
92,0.2,0.3,0.1,0.1,0.1,0.2
93,8.7,18.8,1.1,3.1,3.5,8.0
94,0.7,4.3,0.1,0.3,0.2,1.2
95,1.5,5.5,0.4,0.6,0.7,1.9
96,10.2,27.0,0.9,3.2,3.3,10.4
97,12.8,33.6,2.2,5.2,6.2,13.5
98,10.2,25.0,2.9,4.9,5.3,10.6
99,1.1,4.5,0.2,0.4,0.4,1.4
100,0.0,0.3,0.0,0.0,0.0,0.1
101,0.6,1.2,0.4,0.4,0.5,0.6
102,3.2,14.8,0.0,0.6,0.1,4.4
103,0.0,0.0,0.0,0.0,0.0,0.0
104,0.2,0.5,0.1,0.1,0.1,0.2
105,9.3,21.8,2.3,4.4,5.2,9.4
106,9.5,25.7,1.3,3.4,3.7,10.0
107,0.0,0.1,0.0,0.0,0.0,0.0
