,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),"Inflation, consumer prices (annual %)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Gini index,GDP (current US$),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total",Population ages 65 and above (% of total population),"Cause of death, by non-communicable diseases (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Poverty gap at $6.85 a day (2017 PPP) (%),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
11420,Ukraine,2002,88.5432205200195,0.0,17.0,0.757420846392867,61.9,29.0,43956163612.0433,0.5,3.7,8.50739666915402,16.2831001281738,2.7,38.1417083740234,48202470.0,14.7292767845116,88.0351028660514,10.14,20.8,8.89,68.2756097560976,3.0188,97.1825637817383
12890,Kyrgyz Republic,2008,95.6928405761719,0.03192999958992,22.7,24.5201024234101,67.6,31.5,5139958956.02388,0.6,5.3,10.1500550943121,15.4475898742676,3.3,17.6226501464844,5318700.0,4.79512816123725,76.9412100012404,2.77,25.0,5.01,68.4512195121951,2.3528,97.9721069335938
12894,"Korea, Rep.",2008,80.3832931518555,0.578840017318726,0.7,4.6738965553341,1.7,32.3,1047339041903.85,0.2,0.3,12.7241226603015,3.54324007034302,0.2,31.6637258529663,49054708.0,10.3017375916649,80.1622548279412,2.96,0.7,7.73,79.5170731707317,1.8407,92.64426803588864
12922,Mexico,2008,52.8056488037109,0.142680004239082,14.5,5.12498274575897,37.8,49.9,1109987401386.38,1.7,4.9,12.3581068270841,1.31121003627777,5.4,14.4625301361084,109684489.0,5.96096001304688,76.0637841319078,3.87,14.9,1.03,74.152,1.9494,72.678466796875
12953,Panama,2008,61.490291595459,0.255290001630783,10.5,8.75868308795681,23.2,52.7,25155888600.0,1.1,3.7,12.3599771881362,2.37209010124207,4.1,21.3589096069336,3495276.0,6.14226084831915,69.8754188149835,5.908,9.8,2.3,76.225,1.3808,82.6293563842773
13156,Kyrgyz Republic,2009,95.6928405761719,0.03192999958992,18.7,6.83656248105363,67.6,29.9,4690061344.16421,0.3,3.6,10.1500550943121,15.4475898742676,1.5,17.6226501464844,5383300.0,4.49736197344519,76.9412100012404,2.788,23.2,4.83,69.1024390243903,2.3409,97.9721069335938
13219,Panama,2009,61.490291595459,0.255290001630783,8.0,2.40905316669705,23.0,51.8,27116635600.0,0.6,2.4,12.3599771881362,2.37209010124207,2.5,21.3589096069336,3559343.0,6.29885997203135,69.8754188149835,6.011,8.5,2.3,76.343,1.3092,82.6293563842773
13320,Bangladesh,2010,35.671854019164996,0.08049999922513965,59.3,8.12667639169919,89.4,32.1,115279077465.226,3.2,18.3,7.59040285131126,1.703679978847505,18.2,6.06694006919861,148391139.0,4.44682244656528,59.4311989454775,3.38,46.5,0.6,68.638,0.3635,49.39988136291505
13382,Georgia,2010,95.5943069458008,0.234569996595383,35.7,7.11017897486098,70.6,39.5,12243219360.2985,4.4,12.8,4.72123913842452,27.3010005950928,14.4,30.1727104187012,3786695.0,13.3985572989793,92.3965711104472,20.2,32.6,2.99,72.128,4.4466,98.1364212036133
13422,Kyrgyz Republic,2010,95.6928405761719,0.03192999958992,21.4,7.96772225579691,70.5,30.1,4794361821.20611,1.0,5.2,10.1500550943121,15.4475898742676,3.5,17.6226501464844,5447900.0,4.21247301584639,76.9412100012404,2.834,25.3,4.76,69.3,2.3394,97.9721069335938
