,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $6.85 a day (2017 PPP) (%),GDP per capita
11420,2002,88.5432205200195,0.0,0.757420846392867,43956163612.0433,8.50739666915402,16.2831001281738,38.1417083740234,48202470.0,10.14,8.89,68.2756097560976,3.0188,Ukraine,29.0,17.0,61.9,0.5,3.7,2.7,20.8,911.9068714122595
11686,2003,88.5432205200195,0.0,5.17967781908312,52010352502.0057,8.50739666915402,16.2831001281738,38.1417083740234,47812949.0,9.06,8.81,68.2107317073171,3.0096,Ukraine,28.7,10.4,54.1,0.2,2.1,1.1,16.0,1087.7880070105214
12624,2007,95.6928405761719,0.03192999958992,10.2301032660485,3802570572.37516,10.1500550943121,15.4475898742676,17.6226501464844,5268400.0,2.677,5.06,67.8951219512195,2.358,Kyrgyz Republic,33.9,33.6,74.2,1.7,9.5,8.8,31.8,721.7695263030826
12687,2007,61.490291595459,0.255290001630783,4.16863316477154,21295984200.0,12.3599771881362,2.37209010124207,21.3589096069336,3431614.0,5.844,2.3,76.154,1.3032,Panama,52.7,14.9,30.5,2.2,5.7,6.7,13.6,6205.821575503539
12879,2008,80.52283986409503,0.792490005493164,4.06030495117353,275447471451.063,5.05501740113206,9.20796012878418,30.182824134826703,4489544.0,6.77,4.85,80.0951219512195,4.0144,Ireland,30.9,0.3,0.8,0.1,0.2,0.2,0.4,61353.10656295227
12890,2008,95.6928405761719,0.03192999958992,24.5201024234101,5139958956.02388,10.1500550943121,15.4475898742676,17.6226501464844,5318700.0,2.77,5.01,68.4512195121951,2.3528,Kyrgyz Republic,31.5,22.7,67.6,0.6,5.3,3.3,25.0,966.3938473732078
12894,2008,80.41553243001304,0.578840017318726,4.6738965553341,1047339041903.85,12.7241226603015,3.54324007034302,31.638730367024735,49054708.0,2.96,7.73,79.5170731707317,1.8407,"Korea, Rep.",32.3,0.7,1.7,0.2,0.3,0.2,0.7,21350.42862560409
12922,2008,52.8056488037109,0.142680004239082,5.12498274575897,1109987401386.38,12.3581068270841,1.31121003627777,14.4625301361084,109684489.0,3.87,1.03,74.152,1.9494,Mexico,49.9,14.5,37.8,1.7,4.9,5.4,14.9,10119.821056798468
12953,2008,61.490291595459,0.255290001630783,8.75868308795681,25155888600.0,12.3599771881362,2.37209010124207,21.3589096069336,3495276.0,5.908,2.3,76.225,1.3808,Panama,52.7,10.5,23.2,1.1,3.7,4.1,9.8,7197.110786101011
13062,2009,46.9324188232422,0.286500006914139,3.34645420142012,17339992193.7322,9.36407931995113,1.79473996162415,22.7695903778076,10051317.0,2.97,1.1,65.88,0.41240000000000004,Bolivia,49.2,14.1,28.9,3.8,6.8,8.8,13.5,1725.1462861764485
13116,2009,95.5943069458008,0.234569996595383,1.72751461137912,10766919442.0789,4.72123913842452,27.3010005950928,30.1727104187012,3814419.0,20.71,3.09,71.95,4.2219,Georgia,38.2,34.3,70.5,3.7,11.5,12.1,31.6,2822.68923316471
13145,2009,80.52283986409503,0.792490005493164,-4.47810339150477,236443115853.695,5.05501740113206,9.20796012878418,30.182824134826703,4535375.0,12.61,2.83,80.190243902439,4.0388,Ireland,32.7,0.7,1.4,0.4,0.5,0.5,0.8,52133.09061625445
13146,2009,63.816461563110366,0.223340004682541,13.5515548281506,416397025729.361,15.002909102333,2.77878999710083,17.567322731018074,74322685.0,12.11,1.38,72.698,0.5361,"Iran, Islamic Rep.",42.1,6.0,22.7,0.4,1.7,1.5,7.3,5602.556281831867
13156,2009,95.6928405761719,0.03192999958992,6.83656248105363,4690061344.16421,10.1500550943121,15.4475898742676,17.6226501464844,5383300.0,2.788,4.83,69.1024390243903,2.3409,Kyrgyz Republic,29.9,18.7,67.6,0.3,3.6,1.5,23.2,871.2242201185537
13219,2009,61.490291595459,0.255290001630783,2.40905316669705,27116635600.0,12.3599771881362,2.37209010124207,21.3589096069336,3559343.0,6.011,2.3,76.343,1.3092,Panama,51.8,8.0,23.0,0.6,2.4,2.5,8.5,7618.438459007743
13229,2009,32.9285583496094,0.0525100007653236,2.5919467343056,22355151177.738,12.6445081776989,4.60771989822388,9.80848026275635,5702574.0,5.46,1.3,71.635,1.2774,Paraguay,49.1,14.6,35.7,1.7,4.9,5.8,14.6,3920.186073471032
13255,2009,99.3027725219727,1.06246995925903,1.61510464058236,89399303222.155,5.30436121699577,16.503719329834,18.90895462036135,5386406.0,12.03,6.54,74.909756097561,3.2953,Slovak Republic,27.2,1.1,3.9,0.2,0.4,0.4,1.3,16597.208458136094
13317,2010,79.641487121582,0.53439998626709,2.18929920422458,481420882905.012,6.22276976538698,12.3793001174927,30.0014400482178,10895586.0,8.29,6.12,80.1829268292683,2.9085,Belgium,28.4,0.2,0.5,0.1,0.1,0.1,0.2,44184.946353964995
13320,2010,35.01635233561196,0.0842099984486898,8.12667639169919,115279077465.226,7.59040285131126,1.7913566430409766,5.957240104675293,148391139.0,3.38,0.6,68.638,0.3635,Bangladesh,32.1,59.3,89.4,3.2,18.3,18.2,46.5,776.8595769402781
