,Country Name,Year,"EA, at least completed lower secondary","EA, Doctoral or equivalent",Poverty headcount ratio at $3.65,Inflation,Poverty headcount ratio at $6.85,Gini index,GDP (current US$),Poverty gap at $2.15,Poverty gap at $3.65,"COD, by injury","EA, at least Master's or equivalent",Poverty headcount ratio at $2.15,"EA, at least completed short-cycle tertiary","Population, total",Population ages 65 and above (% of total population),"COD, by non-communicable diseases",Unemployment,Poverty gap at $6.85,"Hospital beds (per 1,000 people)",Life expectancy,"Physicians (per 1,000 people)","EA, at least completed primary"
11420,Ukraine,2002,88.5432205200195,0.0,17.0,0.757420846392867,61.9,29.0,43956163612.0433,0.5,3.7,8.50739666915402,16.2831001281738,2.7,38.1417083740234,48202470.0,14.7292767845116,88.0351028660514,10.14,20.8,8.89,68.2756097560976,3.0188,97.1825637817383
11686,Ukraine,2003,88.5432205200195,0.0,10.4,5.17967781908312,54.1,28.7,52010352502.0057,0.2,2.1,8.50739666915402,16.2831001281738,1.1,38.1417083740234,47812949.0,15.2759367699756,88.0351028660514,9.06,16.0,8.81,68.2107317073171,3.0096,97.1825637817383
11952,Ukraine,2004,88.5432205200195,0.0,8.3,9.0480678605089,43.9,28.9,67220154164.3166,0.1,1.6,8.50739666915402,16.2831001281738,0.9,38.1417083740234,47451626.0,15.7183492208285,88.0351028660514,8.59,12.4,8.73,68.1853658536585,3.0161,97.1825637817383
12358,Kyrgyz Republic,2006,95.6928405761719,0.03192999958992,37.0,5.5521233316254,72.9,37.4,2834168893.27265,1.5,10.0,10.1500550943121,15.4475898742676,8.4,17.6226501464844,5218400.0,5.16465797626546,76.9412100012404,2.512,32.2,5.09,67.6951219512195,2.4489,97.9721069335938
12362,"Korea, Rep.",2006,80.41553243001304,0.578840017318726,0.7,2.24234028518923,2.0,31.7,1053216892422.02,0.2,0.3,12.7241226603015,3.54324007034302,0.2,31.638730367024735,48438292.0,9.47429212721663,80.1622548279412,3.25,0.7,6.48,78.6682926829268,1.6707,92.7860590616862
12390,Mexico,2006,51.797191619873,0.142680004239082,13.1,3.62946762439129,37.2,48.9,975383402912.585,1.2,4.0,12.3581068270841,1.31121003627777,4.2,14.9123296737671,106886790.0,5.73813798692991,76.0637841319078,3.57,14.0,1.02,74.331,1.881,70.7541580200195
12421,Panama,2006,61.490291595459,0.255290001630783,17.4,2.45789333143389,33.9,54.6,18141666300.0,3.9,7.9,12.3599771881362,2.37209010124207,9.4,21.3589096069336,3368573.0,5.8411520484858,69.8754188149835,5.864,16.1,2.3,76.012,1.3489,82.6293563842773
12624,Kyrgyz Republic,2007,95.6928405761719,0.03192999958992,33.6,10.2301032660485,74.2,33.9,3802570572.37516,1.7,9.5,10.1500550943121,15.4475898742676,8.8,17.6226501464844,5268400.0,5.02989225868454,76.9412100012404,2.677,31.8,5.06,67.8951219512195,2.358,97.9721069335938
12687,Panama,2007,61.490291595459,0.255290001630783,14.9,4.16863316477154,30.5,52.7,21295984200.0,2.2,5.7,12.3599771881362,2.37209010124207,6.7,21.3589096069336,3431614.0,5.98971795778896,69.8754188149835,5.844,13.6,2.3,76.154,1.3032,82.6293563842773
12773,Albania,2008,81.7339477539063,0.0896200016140938,3.9,3.32087090389268,33.4,30.0,12881352878.2501,0.0,0.5,6.14152050888872,11.437505245208751,0.2,9.81618022918701,2947314.0,10.9019446154388,90.5993497247237,13.06,8.2,3.0075,77.653,1.2178,92.3957138061523
12796,Bolivia,2008,44.6203689575195,0.286500006914139,15.1,14.0068107702519,33.9,50.8,16674276979.4745,3.8,7.0,9.36407931995113,1.79473996162415,8.3,20.535120010376,9880593.0,4.78919635693931,64.6162738997523,2.6,15.1,1.1,65.446,0.41240000000000004,49.7661895751953
12850,Georgia,2008,95.5943069458008,0.234569996595383,34.1,9.99948761552747,70.2,38.5,12795147991.8388,3.6,11.6,4.72123913842452,27.3010005950928,12.4,30.1727104187012,3848449.0,14.085153781924,92.3965711104472,17.87,31.4,3.21,71.332,4.0001,98.1364212036133
12890,Kyrgyz Republic,2008,95.6928405761719,0.03192999958992,22.7,24.5201024234101,67.6,31.5,5139958956.02388,0.6,5.3,10.1500550943121,15.4475898742676,3.3,17.6226501464844,5318700.0,4.79512816123725,76.9412100012404,2.77,25.0,5.01,68.4512195121951,2.3528,97.9721069335938
12894,"Korea, Rep.",2008,80.41553243001303,0.578840017318726,0.7,4.6738965553341,1.7,32.3,1047339041903.85,0.2,0.3,12.7241226603015,3.54324007034302,0.2,31.638730367024735,49054708.0,10.3017375916649,80.1622548279412,2.96,0.7,7.73,79.5170731707317,1.8407,92.7860590616862
12922,Mexico,2008,52.8056488037109,0.142680004239082,14.5,5.12498274575897,37.8,49.9,1109987401386.38,1.7,4.9,12.3581068270841,1.31121003627777,5.4,14.4625301361084,109684489.0,5.96096001304688,76.0637841319078,3.87,14.9,1.03,74.152,1.9494,72.678466796875
12953,Panama,2008,61.490291595459,0.255290001630783,10.5,8.75868308795681,23.2,52.7,25155888600.0,1.1,3.7,12.3599771881362,2.37209010124207,4.1,21.3589096069336,3495276.0,6.14226084831915,69.8754188149835,5.908,9.8,2.3,76.225,1.3808,82.6293563842773
12963,Paraguay,2008,38.7951011657715,0.0525100007653236,14.2,10.1547846489023,37.2,50.7,24615267617.0323,1.3,4.3,12.6445081776989,4.60771989822388,4.3,10.422459602356,5645148.0,4.85989029871316,69.0770586906766,4.42,14.3,1.3,71.384,1.2774,67.0106430053711
12989,Slovak Republic,2008,99.3027725219727,1.06246995925903,1.1,4.59817976325028,3.9,26.0,100879902984.983,0.2,0.4,5.30436121699577,16.503719329834,0.4,18.90895462036135,5379233.0,12.173148850382,89.637049547929,9.51,1.2,6.59,74.7048780487805,3.3561,99.806339263916
13051,Belgium,2009,79.4299163818359,0.53439998626709,0.2,-0.0531456741253762,0.3,28.6,483254171097.812,0.1,0.1,6.22276976538698,12.3793001174927,0.1,28.4401702880859,10796493.0,17.1204283461989,86.4912296118674,7.91,0.2,6.15,80.0341463414634,2.9078,93.2641372680664
13062,Bolivia,2009,46.9324188232422,0.286500006914139,14.1,3.34645420142012,28.9,49.2,17339992193.7322,3.8,6.8,9.36407931995113,1.79473996162415,8.8,22.7695903778076,10051317.0,4.78923285429995,64.6162738997523,2.97,13.5,1.1,65.88,0.41240000000000004,51.6560516357422
13115,United Kingdom,2009,99.7685623168945,0.916410028934479,0.5,1.96173173560107,0.7,35.1,2417565709974.49,0.2,0.3,3.34052925512224,8.57874011993408,0.2,31.4906005859375,62276270.0,16.1572883797959,89.3427633545594,7.54,0.4,3.26,80.0512195121951,2.6279,99.7685623168945
13116,Georgia,2009,95.5943069458008,0.234569996595383,34.3,1.72751461137912,70.5,38.2,10766919442.0789,3.7,11.5,4.72123913842452,27.3010005950928,12.1,30.1727104187012,3814419.0,13.6899530102139,92.3965711104472,20.71,31.6,3.09,71.95,4.2219,98.1364212036133
13135,Hungary,2009,97.6494979858398,0.502839982509613,0.2,4.21171171171172,4.0,27.0,131069277212.635,0.0,0.1,5.51193618971543,7.5486102104187,0.1,18.7380695343018,10022650.0,16.3623669073119,92.9856166280788,10.03,0.7,7.14,73.9048780487805,3.0399,99.3118209838867
13149,Israel,2009,84.8177032470703,1.43874001502991,1.7,3.35617818988107,8.2,42.6,211968128528.444,0.2,0.5,5.22801580232753,12.0860500335693,0.5,42.8012809753418,7485600.0,9.96234219400038,86.8961751004377,9.53,2.5,3.19,81.4048780487805,3.5334,94.6103820800781
