,Year,"EA, at least completed lower secondary","COD, by injury","Population, total","Hospital beds (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85,GDP per capita
11420,2002,88.5432205200195,8.50739666915402,48202470.0,8.89,Ukraine,29.0,17.0,61.9,0.5,3.7,2.7,20.8,911.9068714122596
11686,2003,88.5432205200195,8.50739666915402,47812949.0,8.81,Ukraine,28.7,10.4,54.1,0.2,2.1,1.1,16.0,1087.7880070105214
12624,2007,95.6928405761719,10.1500550943121,5268400.0,5.06,Kyrgyz Republic,33.9,33.6,74.2,1.7,9.5,8.8,31.8,721.7695263030826
12687,2007,61.490291595459,12.3599771881362,3431614.0,2.3,Panama,52.7,14.9,30.5,2.2,5.7,6.7,13.6,6205.821575503539
12879,2008,80.52283986409503,5.05501740113206,4489544.0,4.85,Ireland,30.9,0.3,0.8,0.1,0.2,0.2,0.4,61353.10656295227
12890,2008,95.6928405761719,10.1500550943121,5318700.0,5.01,Kyrgyz Republic,31.5,22.7,67.6,0.6,5.3,3.3,25.0,966.3938473732078
12894,2008,80.41553243001304,12.7241226603015,49054708.0,7.73,"Korea, Rep.",32.3,0.7,1.7,0.2,0.3,0.2,0.7,21350.42862560409
12922,2008,52.8056488037109,12.3581068270841,109684489.0,1.03,Mexico,49.9,14.5,37.8,1.7,4.9,5.4,14.9,10119.821056798468
12953,2008,61.490291595459,12.3599771881362,3495276.0,2.3,Panama,52.7,10.5,23.2,1.1,3.7,4.1,9.8,7197.110786101011
13062,2009,46.9324188232422,9.36407931995113,10051317.0,1.1,Bolivia,49.2,14.1,28.9,3.8,6.8,8.8,13.5,1725.1462861764485
13116,2009,95.5943069458008,4.72123913842452,3814419.0,3.09,Georgia,38.2,34.3,70.5,3.7,11.5,12.1,31.6,2822.68923316471
13145,2009,80.52283986409503,5.05501740113206,4535375.0,2.83,Ireland,32.7,0.7,1.4,0.4,0.5,0.5,0.8,52133.09061625445
13146,2009,63.816461563110366,15.002909102333,74322685.0,1.38,"Iran, Islamic Rep.",42.1,6.0,22.7,0.4,1.7,1.5,7.3,5602.556281831867
13156,2009,95.6928405761719,10.1500550943121,5383300.0,4.83,Kyrgyz Republic,29.9,18.7,67.6,0.3,3.6,1.5,23.2,871.2242201185537
13219,2009,61.490291595459,12.3599771881362,3559343.0,2.3,Panama,51.8,8.0,23.0,0.6,2.4,2.5,8.5,7618.438459007743
13229,2009,32.9285583496094,12.6445081776989,5702574.0,1.3,Paraguay,49.1,14.6,35.7,1.7,4.9,5.8,14.6,3920.186073471032
13255,2009,99.3027725219727,5.30436121699577,5386406.0,6.54,Slovak Republic,27.2,1.1,3.9,0.2,0.4,0.4,1.3,16597.208458136094
13317,2010,79.641487121582,6.22276976538698,10895586.0,6.12,Belgium,28.4,0.2,0.5,0.1,0.1,0.1,0.2,44184.946353964995
13320,2010,35.01635233561196,7.59040285131126,148391139.0,0.6,Bangladesh,32.1,59.3,89.4,3.2,18.3,18.2,46.5,776.8595769402781
13381,2010,99.8078689575195,3.34052925512224,62766365.0,2.93,United Kingdom,33.7,0.5,0.7,0.2,0.3,0.2,0.4,39693.19387012375
13382,2010,95.5943069458008,4.72123913842452,3786695.0,2.99,Georgia,39.5,35.7,70.6,4.4,12.8,14.4,32.6,3233.220357144819
13401,2010,97.9304733276367,5.51193618971543,10000023.0,7.18,Hungary,29.4,0.3,5.4,0.0,0.1,0.1,1.0,13217.504595110731
13411,2010,81.0681991577148,5.05501740113206,4560155.0,2.73,Ireland,32.3,0.9,1.7,0.4,0.5,0.5,0.9,48663.60044392614
13415,2010,85.1100463867188,5.22801580232753,7623600.0,3.16,Israel,42.5,1.2,7.2,0.1,0.3,0.2,1.9,31266.605317438352
13422,2010,95.6928405761719,10.1500550943121,5447900.0,4.76,Kyrgyz Republic,30.1,21.4,70.5,1.0,5.2,3.5,25.3,880.0385141441858
13426,2010,82.9011688232422,12.7241226603015,49554112.0,8.74,"Korea, Rep.",32.0,0.7,2.2,0.2,0.4,0.5,0.9,23087.225643847476
13450,2010,93.7892074584961,8.00622148250186,2862354.0,6.18,Moldova,32.1,4.5,30.1,0.1,0.8,0.4,7.8,2436.7993586401053
13454,2010,53.0869216918945,12.3581068270841,112532401.0,1.05,Mexico,47.2,12.8,38.1,1.6,4.3,4.5,14.1,9399.964708596684
13459,2010,68.1339416503906,3.47210436141757,414508.0,4.52,Malta,29.0,0.3,0.5,0.1,0.2,0.2,0.3,21798.902932312285
13476,2010,89.5227966308594,4.19336980345435,16615394.0,4.05,Netherlands,27.8,0.1,0.2,0.0,0.0,0.0,0.1,50999.74511688907
13484,2010,33.3851013183594,7.76796887644358,194454498.0,0.6,Pakistan,28.8,52.4,90.4,1.3,13.5,9.4,43.1,911.0899961228412
13485,2010,61.490291595459,12.3599771881362,3623617.0,2.3,Panama,51.6,9.1,21.7,1.0,3.2,3.4,9.0,8124.558307348707
13490,2010,80.9015502929688,6.03720414903758,38042794.0,6.61,Poland,33.2,1.1,4.1,0.1,0.4,0.3,1.3,12504.250185609264
13495,2010,39.60493774414062,12.6445081776989,5768613.0,1.3,Paraguay,51.0,13.5,34.1,1.7,4.9,5.5,13.7,4702.915769882726
13503,2010,12.1764698028564,10.9953026937433,10309031.0,1.6,Rwanda,47.2,82.3,93.4,22.8,43.4,59.2,64.9,594.1095117931685
13511,2010,41.6939582824707,20.4477010132172,6114034.0,1.0,El Salvador,43.5,19.9,49.1,1.6,6.2,6.3,19.6,3017.3073947577
13521,2010,99.29273223876956,5.30436121699577,5391428.0,6.46,Slovak Republic,27.3,1.2,3.4,0.3,0.5,0.5,1.2,16908.84795648804
13523,2010,87.0703430175781,4.82245509216902,9378126.0,2.73,Sweden,27.7,0.8,1.3,0.4,0.5,0.5,0.8,52869.04428915862
13544,2010,46.585880279541,5.10500743782608,73195345.0,2.74,Turkiye,38.8,4.4,18.2,0.1,1.0,0.8,5.7,10614.984569901297
13550,2010,49.4982109069824,6.70522188765526,3352651.0,1.2,Uruguay,44.5,1.6,12.0,0.1,0.3,0.2,3.1,12512.59412684413
13580,2011,99.5548477172852,5.43325113185383,8391643.0,7.68,Austria,30.8,0.6,1.0,0.3,0.4,0.4,0.6,51442.27624644113
13583,2011,80.1013717651367,6.22276976538698,11038264.0,6.05,Belgium,28.1,0.3,0.6,0.1,0.1,0.2,0.2,47410.5669277467
13594,2011,47.825538635253906,9.36407931995113,10396246.0,1.07,Bolivia,46.1,10.4,23.5,2.2,4.5,5.3,10.2,2304.982295473116
13603,2011,96.054557800293,5.67378141368627,7912398.0,5.05,Switzerland,31.7,0.0,0.1,0.0,0.0,0.0,0.0,90476.75896515771
13619,2011,77.2228317260742,5.72467463654588,1145086.0,3.51,Cyprus,32.6,0.0,0.2,0.0,0.0,0.0,0.0,24139.2802017452
13620,2011,99.8156204223633,5.51107577546436,10496088.0,7.06,Czechia,26.4,0.1,0.8,0.0,0.0,0.0,0.2,21871.26607541286
13621,2011,96.713623046875,3.86786151573768,80274983.0,8.38,Germany,30.7,0.0,0.2,0.0,0.0,0.0,0.1,46705.8957963357
13643,2011,79.8137283325195,6.93911343109398,65345233.0,6.36,France,33.3,0.1,0.2,0.0,0.0,0.0,0.1,43846.46607648013
13647,2011,99.8556365966797,3.34052925512224,63258810.0,2.88,United Kingdom,33.2,0.5,0.7,0.2,0.2,0.2,0.4,42150.69814088219
13648,2011,96.1514778137207,4.72123913842452,3756441.0,2.81,Georgia,39.6,33.3,69.0,4.3,12.0,13.4,31.3,4021.7542038806946
13655,2011,64.2316576639811,2.99104425645348,11104899.0,4.47,Greece,34.8,2.0,5.2,0.9,1.1,1.1,2.2,25483.882564493295
13667,2011,98.2056579589844,5.51193618971543,9971727.0,7.19,Hungary,29.2,0.3,5.8,0.0,0.1,0.1,1.2,14234.471576936974
13677,2011,83.4697036743164,5.05501740113206,4580084.0,2.62,Ireland,32.9,0.9,1.4,0.4,0.5,0.5,0.8,52183.132931215674
