,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",Gini index,GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",GDP per capita
0,Ukraine,2002,88.5432205200195,0.0,0.757420846392867,29.0,43956163612.0433,8.50739666915402,16.2831001281738,38.1417083740234,48202470.0,10.14,8.89,68.2756097560976,3.0188,911.9068714122596
1,Ukraine,2003,88.5432205200195,0.0,5.17967781908312,28.7,52010352502.0057,8.50739666915402,16.2831001281738,38.1417083740234,47812949.0,9.06,8.81,68.2107317073171,3.0096,1087.7880070105214
3,Panama,2007,61.490291595459,0.255290001630783,4.16863316477154,52.7,21295984200.0,12.3599771881362,2.37209010124207,21.3589096069336,3431614.0,5.844,2.3,76.154,1.3032,6205.821575503539
5,"Korea, Rep.",2008,80.41553243001304,0.578840017318726,4.6738965553341,32.3,1047339041903.85,12.7241226603015,3.54324007034302,31.638730367024735,49054708.0,2.96,7.73,79.5170731707317,1.8407,21350.42862560409
6,Mexico,2008,52.8056488037109,0.142680004239082,5.12498274575897,49.9,1109987401386.38,12.3581068270841,1.31121003627777,14.4625301361084,109684489.0,3.87,1.03,74.152,1.9494,10119.821056798468
7,Panama,2008,61.490291595459,0.255290001630783,8.75868308795681,52.7,25155888600.0,12.3599771881362,2.37209010124207,21.3589096069336,3495276.0,5.908,2.3,76.225,1.3808,7197.110786101011
8,Bolivia,2009,46.9324188232422,0.286500006914139,3.34645420142012,49.2,17339992193.7322,9.36407931995113,1.79473996162415,22.7695903778076,10051317.0,2.97,1.1,65.88,0.4124,1725.1462861764485
11,Panama,2009,61.490291595459,0.255290001630783,2.40905316669705,51.8,27116635600.0,12.3599771881362,2.37209010124207,21.3589096069336,3559343.0,6.011,2.3,76.343,1.3092,7618.438459007743
14,Belgium,2010,79.641487121582,0.53439998626709,2.18929920422458,28.4,481420882905.012,6.22276976538698,12.3793001174927,30.0014400482178,10895586.0,8.29,6.12,80.1829268292683,2.9085,44184.946353964995
15,Bangladesh,2010,35.01635233561196,0.0842099984486898,8.12667639169919,32.1,115279077465.226,7.59040285131126,1.7913566430409766,5.957240104675293,148391139.0,3.38,0.6,68.638,0.3635,776.8595769402781
16,United Kingdom,2010,99.8078689575195,0.916410028934479,2.49265472467065,33.7,2491397494467.95,3.34052925512224,8.57874011993408,33.7010917663574,62766365.0,7.79,2.93,80.4024390243902,2.6265,39693.19387012375
18,Hungary,2010,97.9304733276367,0.502839982509613,4.85555795691951,29.4,132175349953.713,5.51193618971543,7.5486102104187,18.9934902191162,10000023.0,11.17,7.18,74.2073170731707,2.8896,13217.504595110731
19,Israel,2010,85.1100463867188,1.43874001502991,2.69137006338374,42.5,238364092298.023,5.22801580232753,12.0860500335693,43.2506294250488,7623600.0,8.48,3.16,81.6024390243903,3.5107,31266.605317438352
21,"Korea, Rep.",2010,82.9011688232422,0.578840017318726,2.93928652655687,32.0,1144066965324.49,12.7241226603015,3.54324007034302,35.3209915161133,49554112.0,3.32,8.74,80.1170731707317,1.9839,23087.225643847476
22,Moldova,2010,93.7892074584961,0.063740000128746,7.48385086350855,32.1,6974982391.40094,8.00622148250186,0.56878000497818,31.6732807159424,2862354.0,7.45,6.18,69.357,2.3808,2436.7993586401053
23,Mexico,2010,53.0869216918945,0.142680004239082,4.15672722680176,47.2,1057800597973.65,12.3581068270841,1.31121003627777,14.4238395690918,112532401.0,5.3,1.05,74.19,1.9986,9399.964708596684
25,Netherlands,2010,89.5227966308594,0.554610013961792,1.27530569556686,27.8,847380859016.688,4.19336980345435,10.0669403076172,28.8166904449463,16615394.0,4.99,4.05,80.7024390243902,2.9516,50999.74511688907
26,Pakistan,2010,33.3851013183594,0.4762350022792815,12.938870563489,28.8,177165547828.889,7.76796887644358,1.6833649873733552,6.97446012496948,194454498.0,0.65,0.6,64.436,0.8076,911.0899961228412
27,Panama,2010,61.490291595459,0.255290001630783,3.49128867487524,51.6,29440287600.0,12.3599771881362,2.37209010124207,21.3589096069336,3623617.0,5.875,2.3,76.448,1.4058,8124.558307348707
30,Rwanda,2010,12.1764698028564,0.033610001206398,-0.246128693436925,47.2,6124693374.47064,10.9953026937433,0.241610005497932,3.62481999397278,10309031.0,11.895,1.6,62.54,0.055,594.1095117931685
31,El Salvador,2010,41.6939582824707,0.0388000011444092,1.17933576873676,43.5,18447920000.0,20.4477010132172,0.263790011405945,6.78207015991211,6114034.0,4.89,1.0,71.848,1.8823,3017.3073947577
