"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5343.77873550933","5410.07782626331","5436.0453035713","5584.80950838158","5498.89397885526","5746.20431811671","6130.32356815631","6056.65316475516","6679.87657737453","7136.55701596725","7952.3006990952","8406.87076597213","8823.16896136852","9840.92456453075","10720.7599390123","11675.4217961542","12601.22","13664.6","14818.2","15835.52","17394.76","19167.6","20648.05","23311.51","26619.25","","",
"Afghanistan","AFG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","0","2.73","0.67","4","1","5.5","7.34","6.75","9.15","14.86","13.23","12.5","26.14","27.68","41.87","34.65","27.24","35.01","21.19","60.99","73.28","87.7","133.29","119.74","","",
"Africa Western and Central","AFW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1644.63453959234","1760.23249477238","1786.24430323058","1834.9538675682","1776.33218222457","1868.87534834432","2095.6","2297.62","2473.37","2916.39","3207.08","3501.4","3770.68","4429.65","4817.14","5303.5","5182.34","5358.9","6028.27","6203.57","6932.74","7725.29","9193.42","10694.07","12958.7","","",
"Angola","AGO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95","7.33","4.11","3.93","6.08","9.58","16.13","5.89","9.73","10.04","12.07","10.16","11.85","13.78","13.18","16.78","20.63","23.85","32.02","31.32","37.06","43.47","28.88","33.81","45.41","","",
"Albania","ALB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.82","26.52","31.89","23.84","22.34","18.38","24.53","22.82","17.91","25.77","26.47","41.65","52.48","68.39","124.82","141.38","155.25","150.4","156.68","167.07","170.85","135.3","168.55","191.03","167.16","","",
"Andorra","AND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0.87","2.08","0","0","2.64","0.5","4.7","1.31","4.93","5.02","6.23","1.68","2.55","1.2","0.88","4.53","5.26","4.18","7.96","7.91","1.67","3.29","7.44","9.7","","",
"Arab World","ARB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7023.41123126973","7411.8821853686","7911.83776243592","7919.3787515557","8731.41526296473","9431.96122046956","9809.14365339536","10997.7431905519","11929.0849922621","12764.0874388137","14496.8477767099","15975.9261046266","18210.72","21574.82","24076.4","27142.25","30757.85","33930.55","36172.66","39295.82","44834.14","48014.79","54567.51","66240.24","80189.86","","",
"United Arab Emirates","ARE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","294.31","282.44","320.66","247.78","324.89","376.47","393.49","538.88","548.13","693.83","814.81","765.15","892.89","1023.77","1247.55","1391.56","1580.13","1727.03","1766.44","2234.7","2508.37","2772.91","2996.8","4053.25","4443.22","","",
"Argentina","ARG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3385.12","3768.19","3724.97","4017.86","4231.85","4356.17","4681.53","4478.15","4602.28","4861.52","5552.9","5659.69","6217.93","6802.37","7135.9","7624.35","7753.63","7895.61","8218.57","8305.92","8485.48","8624.13","9090.82","8984.76","9729.75","","",
